timestamp,price
2023-12-16,41992.01418722399
2023-12-17,42247.06788172229
2023-12-18,41410.819634575855
2023-12-19,42684.182554683386
2023-12-20,42250.206182797505
2023-12-21,43634.1241684964
2023-12-22,43849.69959939619
2023-12-23,44003.6960216438
2023-12-24,43752.03088478376
2023-12-25,43034.971063091514
2023-12-26,43638.236302200916
2023-12-27,42516.426940282516
2023-12-28,43418.46777504291
2023-12-29,42600.65063315619
2023-12-30,42074.70715618848
2023-12-31,42220.61140121376
2024-01-01,42208.202176186474
2024-01-02,44168.68118687473
2024-01-03,44994.67388689237
2024-01-04,42821.558989157995
2024-01-05,44195.57856209971
2024-01-06,44113.69973389081
2024-01-07,43956.12071720152
2024-01-08,43883.74387905174
2024-01-09,46936.185561217506
2024-01-10,46105.94607828697
2024-01-11,46632.31314804979
2024-01-12,46314.355541602694
2024-01-13,42893.92960550481
2024-01-14,42848.47451640749
2024-01-15,41800.93282193406
2024-01-16,42587.336038354406
2024-01-17,43148.00164342693
2024-01-18,42713.859186938986
2024-01-19,41261.39479801012
2024-01-20,41600.94093254464
2024-01-21,41626.10711003664
2024-01-22,41541.89945706261
2024-01-23,39504.73005758438
2024-01-24,39833.45410501688
2024-01-25,40123.67105847147
2024-01-26,39938.28644155878
2024-01-27,41862.9356109399
2024-01-28,42119.61049464309
2024-01-29,42026.57856232145
2024-01-30,43267.60927638767
2024-01-31,42892.03453014447
2024-02-01,42583.26354663417
2024-02-02,43069.043420936796
2024-02-03,43170.65856159975
2024-02-04,42976.84829990829
2024-02-05,42599.35997055978
2024-02-06,42648.45692113544
2024-02-07,43087.78740814285
2024-02-08,44247.415415479314
2024-02-09,45338.271189789484
2024-02-10,47143.24299107112
2024-02-11,47768.995251247936
2024-02-12,48189.88179303987
2024-02-13,50050.13609456397
2024-02-14,49732.14536955351
2024-02-15,51790.16929752642
2024-02-16,51958.23029105492
2024-02-17,52166.43430976192
2024-02-18,51684.51749264525
2024-02-19,52138.48578873693
2024-02-20,51764.313185487765
2024-02-21,52286.79372554667
2024-02-22,51842.75676625642
2024-02-23,51319.500125702674
2024-02-24,50841.081094770896
2024-02-25,51553.096712831146
2024-02-26,51751.884054934555
2024-02-27,54478.191083122954
2024-02-28,57003.52673730811
2024-02-29,62558.58202419311
2024-03-01,61298.216861101624
2024-03-02,62426.64052919186
2024-03-03,62067.86680212177
2024-03-04,63053.10543906421
2024-03-05,68186.64593432152
2024-03-06,64291.536557569496
2024-03-07,66145.91927850846
2024-03-08,66944.87639053575
2024-03-09,68315.25192078314
2024-03-10,68508.0039626159
2024-03-11,69075.66688195744
2024-03-12,72130.55300765681
2024-03-13,71467.17350326062
2024-03-14,73097.76702694128
2024-03-15,71420.03180142345
2024-03-16,69497.7631929463
2024-03-17,65292.31329331289
2024-03-18,68425.41565643054
2024-03-19,67708.94360930806
2024-03-20,62132.51737873437
2024-03-21,67819.05570684028
2024-03-22,65535.97844847657
2024-03-23,63509.04496523133
2024-03-24,64285.80279102199
2024-03-25,67310.98326810106
2024-03-26,69938.94530200244
2024-03-27,70082.05122475982
2024-03-28,69435.75040305211
2024-03-29,70710.19534863312
2024-03-30,69919.05546148612
2024-03-31,69702.3087473573
2024-04-01,71246.95144060145
2024-04-02,69785.92503802372
2024-04-03,65440.41922587159
2024-04-04,66123.938539074
2024-04-05,68542.17715279506
2024-04-06,67978.61023408506
2024-04-07,69000.6499164776
2024-04-08,69401.97360911008
2024-04-09,71624.18486236996
2024-04-10,69158.64381207665
2024-04-11,70527.88997578963
2024-04-12,70106.66413070948
2024-04-13,67252.10504226631
2024-04-14,64404.82548907413
2024-04-15,65752.66004728881
2024-04-16,63430.5714573684
2024-04-17,63720.501587480736
2024-04-18,61328.89798860725
2024-04-19,63461.592695107174
2024-04-20,63988.818471785664
2024-04-21,64894.41869109179
2024-04-22,64936.4207567739
2024-04-23,66841.66685207361
2024-04-24,66406.95244392671
2024-04-25,64279.51812857524
2024-04-26,64486.183359158975
2024-04-27,63802.330049258766
2024-04-28,63517.248743409626
2024-04-29,63030.433616681854
2024-04-30,63797.67963589958
2024-05-01,60749.47209216387
2024-05-02,58297.574075325494
2024-05-03,59135.1733607733
2024-05-04,62839.34073569376
2024-05-05,63820.451902924986
2024-05-06,64010.00865210892
2024-05-07,63172.48129551341
2024-05-08,62363.057191718624
2024-05-09,61215.50400879193
2024-05-10,63148.599943097026
2024-05-11,60888.21674957157
2024-05-12,60776.972079172134
2024-05-13,61507.054004121346
2024-05-14,62878.783300729294
2024-05-15,61569.1130057734
2024-05-16,66220.51831432826
2024-05-17,65260.879803346186
2024-05-18,67053.12326509564
2024-05-19,66912.61861403697
2024-05-20,66252.71259591613
2024-05-21,71430.29700215145
2024-05-22,70189.8358177002
2024-05-23,69181.20085677762
2024-05-24,67906.46534276106
2024-05-25,68539.91646552991
2024-05-26,69268.44558973772
2024-05-27,68508.83110875699
2024-05-28,69367.23871755725
2024-05-29,68316.63588049631
2024-05-30,67577.26558995963
2024-05-31,68372.49288434093
2024-06-01,67474.95483698409
2024-06-02,67704.32641811523
2024-06-03,67740.01690222476
2024-06-04,68808.29368590549
2024-06-05,70600.01116676089
2024-06-06,71184.59943059199
2024-06-07,70759.58819301432
2024-06-08,69325.36238847222
2024-06-09,69315.1041233966
2024-06-10,69654.16073760358
2024-06-11,69493.17760915738
2024-06-12,67329.15232724321
2024-06-13,68224.51967501991
2024-06-14,66700.31696564378
2024-06-15,66011.07873713733
2024-06-16,66190.4874891135
2024-06-17,66615.53782131766
2024-06-18,66460.38897909952
2024-06-19,65109.314812190474
2024-06-20,64907.07460760319
2024-06-21,64844.67441797763
2024-06-22,64071.624284709695
2024-06-23,64239.90348813148
2024-06-24,63221.35738437477
2024-06-25,60363.23497529626
2024-06-26,61770.413870095355
2024-06-27,60749.89619402014
2024-06-28,61562.64532550036
2024-06-29,60317.09697945116
2024-06-30,60864.44316193428
2024-07-01,62734.39383945474
2024-07-02,62819.82226921849
2024-07-03,62042.5650371006
2024-07-04,60244.68076433092
2024-07-05,57189.17412408636
2024-07-06,56739.86285107204
2024-07-07,58230.4841542266
2024-07-08,55880.3753776708
2024-07-09,56665.140733520275
2024-07-10,57988.30351208401
2024-07-11,57704.202284462874
2024-07-12,57388.192479166675
2024-07-13,57899.28895749592
2024-07-14,59152.71913887286
2024-07-15,60942.32773996293
2024-07-16,64835.48973321571
2024-07-17,65162.23625234354
2024-07-18,64136.31384360687
2024-07-19,63959.56900809379
2024-07-20,66689.54880734957
2024-07-21,67206.06470614894
2024-07-22,68088.13996324532
2024-07-23,67607.71339918874
2024-07-24,65942.41746522837
2024-07-25,65403.53513022529
2024-07-26,65749.96361965332
2024-07-27,67920.2964857025
2024-07-28,68055.40838968738
2024-07-29,68242.2474440493
2024-07-30,66770.32091848266
2024-07-31,66219.05102486102
2024-08-01,64679.778647032515
2024-08-02,65357.52960767435
2024-08-03,61407.29547397454
2024-08-04,60738.7449250574
